,Account ID,Industry,Vertical, Total BRR , AnnualRevenue ,NumberOfEmployees, DandB Revenue ,DandB Total Employees,Building ID
102,Acct-000417,Healthcare,Pharmaceuticals / BioTech,0.0, $-   ,0, $-   ,0,1
100,Acct-001273,Research & Education,K-12 Education,0.0, $-   ,0, $-   ,0,1
95,Acct-000671,Media & Content,Internet Content & Software,0.0," $43,159,020.07 ",165," $47,178,657.02 ",165,1
91,Acct-000213,IT Infrastructure,Colo/Hosting,0.0, $-   ,0, $-   ,0,1
90,Acct-000257,Telecommunications,Regional Carrier/ISP,0.0," $147,520.00 ",2," $181,456.05 ",2,1
88,Acct-000862,Media & Content,Internet Content & Software,0.0, $-   ,0, $-   ,0,1
87,Acct-001158,Media & Content,AdTech,0.0, $-   ,0, $-   ,0,1
85,Acct-000981,IT Infrastructure,Cloud Service Provider,0.0, $-   ,0, $-   ,0,1
84,Acct-001176,Professional Services,Consulting / Other Professional Services,0.0, $-   ,0, $-   ,0,1
76,Acct-001132,Other Industry,Telecommunications Equipment Provider,0.0, $-   ,0, $-   ,0,1
75,Acct-000552,Telecommunications,Regional Carrier/ISP,0.0, $-   ,0, $-   ,0,1
184,Acct-001341,Finance,Finance - Other,0.0, $-   ,0, $-   ,0,1
