,Building ID,X36 NPV_x,Estimated Build Cost,Profit Including Build Cost,Latitude,Longitude,State,Number of Accounts,Street Address,Postal Code,Net Classification,Type
195,Bldg-115472,16009.02,13507.3,2501.720000000001,33.7285213,-84.4187515,GA,1,953 Donnelly Ave SW,30310,Fiber Only,Office - Multi Tenant
196,Bldg-115561,27165.35,24679.36,2485.989999999998,33.7914836,-84.3897786,GA,1,1350 Spring St NW,30309,Fiber Only,Office - Multi Tenant
197,Bldg-505443,26790.09,24304.24,2485.8499999999985,33.698234,-84.42700500000001,GA,1,1300 Estes Dr SW,30310,Fiber Only,Office - Multi Tenant
198,Bldg-483343,29510.07,27316.0,2194.0699999999997,33.9110228,-84.2263286,GA,1,6585 Crescent Dr,30071,Fiber Only,Office - Multi Tenant
199,Bldg-485492,20846.81,18664.9,2181.91,33.7025782,-84.4273589,GA,1,1910 Murphy Ave SW,30310,Fiber Only,Office - Multi Tenant
200,Bldg-494165,16965.84,14987.8,1978.0400000000009,33.774712,-84.3474185,GA,1,1226 Ponce De Leon Ave NE,30306,Fiber Only,Office - Multi Tenant
201,Bldg-482462,67932.72,66367.12,1565.6000000000058,33.9738633,-84.22048509999999,GA,2,6445 Triangle Dr NW,30092,Fiber Only,Office - Multi Tenant
203,Bldg-510646,18900.02,17631.7,1268.3199999999997,33.958511,-84.5442,GA,1,274 N Marietta Pkwy NE,30060,Fiber Only,Office - Multi Tenant
204,Bldg-322501,18956.85,18052.0,904.8499999999985,33.7717776,-84.36334240000001,GA,1,725 Ponce De Leon Ave NE,30306,Fiber Only,Office - Multi Tenant
205,Bldg-132421,15128.39,14305.6,822.789999999999,33.9976592,-84.2839782,GA,1,2660 Holcomb Bridge Rd,30022,Fiber Only,Office - Multi Tenant
206,Bldg-115476,15562.039999999999,15322.3,239.73999999999978,33.8317,-84.3239,GA,2,1593 Northeast Expy NE,30329,Type 2,Neutral Data Center
208,Bldg-061836,17763.35,17736.4,26.94999999999709,34.0706195,-84.2597149,GA,1,3655 North Point Pkwy,30005,Type 2,Office - Multi Tenant
209,Bldg-484798,18623.99,18752.2,-128.20999999999913,33.8299178,-84.3098538,GA,1,2500 Clairmont Rd NE,30329,Fiber Only,High School
210,Bldg-523159,13729.78,13879.0,-149.21999999999935,33.912645899999994,-84.49509470000001,GA,1,1641 Cobb Pkwy S,30060,Fiber Only,Office - Multi Tenant
211,Bldg-514481,13145.06,13368.7,-223.64000000000124,33.8472071,-84.3559873,GA,1,960 E Paces Ferry Rd NE,30326,Fiber Only,Office - Multi Tenant
212,Bldg-061796,22435.86,22874.56,-438.7000000000007,34.0359907,-84.2932731,GA,2,1000 Mansell Exchange W,30022,Type 2,Office - Multi Tenant
214,Bldg-493566,21620.1,22198.6,-578.5,33.9251383,-84.49063559999999,GA,1,4012 Kingston Ct SE,30067,Fiber Only,Office - Multi Tenant
216,Bldg-158959,14429.07,15080.5,-651.4300000000003,33.8274881,-84.24922190000001,GA,1,1491 Montreal Rd,30084,Fiber Only,Hospital
217,Bldg-513925,21245.55,22218.7,-973.1500000000015,34.009163,-84.60684499999999,GA,2,2380 Cobb Pkwy NW,30152,Fiber Only,Office - Single Tenant
219,Bldg-513757,10790.23,11792.8,-1002.5699999999997,33.811145,-84.392098,GA,1,2061 Peachtree Rd NE,30309,Fiber Only,Office - Multi Tenant
220,Bldg-061718,20326.76,21803.2,-1476.4400000000023,34.0963335,-84.26742220000001,GA,1,13000 Deerfield Pkwy,30004,Type 2,Office - Multi Tenant
221,Bldg-439726,9203.37,10902.1,-1698.7299999999996,34.0166187,-84.6020932,GA,1,1723 McCollum Pkwy NW,30144,Fiber Only,Federal Government
222,Bldg-507490,31998.54,33705.28,-1706.739999999998,33.867057200000005,-84.4704135,GA,1,2829 Overlook Trce,30324,Fiber Only,Office - Multi Tenant
223,Bldg-199498,39455.11,41413.84,-1958.729999999996,33.761986,-84.387755,GA,1,270 Peachtree St NW,30303,Fiber Only,Office - Single Tenant
224,Bldg-456801,14167.49,16437.4,-2269.9100000000017,33.8505624,-84.3772075,GA,1,3525 Piedmont Rd NE,30305,On-Net,Office - Multi Tenant
225,Bldg-484114,13766.44,16086.1,-2319.66,34.0069977,-84.0605652,GA,1,702 Old Peachtree Rd NW,30024,Fiber Only,Office - Multi Tenant
226,Bldg-492469,21873.22,24339.04,-2465.8199999999997,34.0964231,-84.2623761,GA,2,13010 Morris Rd,30004,Fiber Only,Office - Multi Tenant
228,Bldg-507216,15370.78,17839.0,-2468.2199999999993,33.832821700000004,-84.3202457,GA,1,2855 Briarcliff Rd NE,30329,Fiber Only,Office - Multi Tenant
229,Bldg-505950,11534.96,14004.4,-2469.4400000000005,33.788036299999995,-84.32299350000001,GA,1,1649 N Decatur Rd NE,30307,Fiber Only,Office - Single Tenant
230,Bldg-418041,21530.3,24103.6,-2573.2999999999993,33.970377,-84.19319,GA,1,4855 Peachtree Industrial Blvd,30092,Fiber Only,Federal Government
231,Bldg-506979,12298.19,15007.0,-2708.8099999999995,33.7324746,-84.4249405,GA,1,845 Lawton St SW,30310,Fiber Only,Office - Multi Tenant
232,Bldg-485516,24413.8,27557.68,-3143.880000000001,33.8350601,-84.376124,GA,1,349 Peachtree Ave NE,30305,Fiber Only,Office - Multi Tenant
233,Bldg-509742,13461.61,16732.6,-3270.989999999998,33.9560517,-84.1991838,GA,1,2800 Colonnades Ct,30071,Fiber Only,Office - Multi Tenant
234,Bldg-061876,78160.89,81493.12,-3332.229999999996,34.058786,-84.2858653,GA,2,2475 Northwinds Pkwy,30009,Type 2,Office - Multi Tenant
236,Bldg-507365,11427.16,14824.0,-3396.84,33.8371701,-84.36771329999999,GA,1,2999 Piedmont Rd NE,30305,Fiber Only,Office - Multi Tenant
237,Bldg-061777,8057.11,11533.9,-3476.79,33.896696,-84.461453,GA,1,294 Interstate North Cir SE,30339,Type 2,Office - Multi Tenant
238,Bldg-484345,11181.86,14845.9,-3664.039999999999,33.6307969,-84.38339029999999,GA,1,3000 S Corporate Pkwy,30297,Fiber Only,Office - Multi Tenant
239,Bldg-492555,9407.6,13093.9,-3686.2999999999993,33.963173600000005,-84.14006590000001,GA,1,2345 Pleasant Hill Rd,30096,Fiber Only,Office - Single Tenant
240,Bldg-138006,19023.46,22728.4,-3704.9400000000023,33.61573,-84.447817,GA,1,1895 Phoenix Blvd,30349,Fiber Only,Office - Multi Tenant
241,Bldg-511545,19203.95,22951.12,-3747.1699999999983,33.966485299999995,-84.1084885,GA,1,1955 Evergreen Blvd,30096,Fiber Only,Office - Multi Tenant
242,Bldg-482464,9274.76,13267.6,-3992.84,33.79482720000001,-84.5166145,GA,1,1340 Discovery Industrial Ct SE,30126,Fiber Only,Office - Multi Tenant
243,Bldg-387490,10824.93,14859.1,-4034.17,34.039356,-84.0558441,GA,1,55 Satellite Blvd NW,30024,Fiber Only,Office - Multi Tenant
244,Bldg-061868,10254.39,14438.8,-4184.41,33.9250047,-84.4804441,GA,1,1165 Northchase Pkwy SE,30067,Type 2,Office - Multi Tenant
245,Bldg-199571,15035.99,19250.5,-4214.51,33.916313099999996,-84.3500258,GA,1,5901 Peachtree Dunwoody Rd Bldg C,30328,Fiber Only,Office - Single Tenant
246,Bldg-518743,25816.28,30144.64,-4328.360000000001,33.9759734,-84.2131058,GA,2,3715 Davinci Ct,30092,Fiber Only,Office - Multi Tenant
248,Bldg-388492,30823.719999999998,35311.84,-4488.119999999999,33.754304600000005,-84.3807815,GA,3,200 Edgewood Ave NE,30303,Fiber Only,Retail - Single Tenant
251,Bldg-503049,8444.95,13056.1,-4611.15,33.621123700000005,-84.37795899999999,GA,1,330 Forest Pkwy,30297,Fiber Only,Office - Multi Tenant
252,Bldg-513954,29485.0,34323.28,-4838.279999999999,33.745025,-84.411665,GA,2,350 Spellman Ln NW,30314,Fiber Only,Office - Multi Tenant
254,Bldg-491585,12008.88,17300.2,-5291.3200000000015,33.7709094,-84.381106,GA,1,595 Piedmont Ave NE,30308,Fiber Only,Office - Multi Tenant
255,Bldg-061950,34190.59,39497.2,-5306.610000000001,33.909665000000004,-84.4371416,GA,1,1600 Riveredge Pkwy,30328,Type 2,Office - Multi Tenant
256,Bldg-518573,24600.84,29925.76,-5324.919999999998,33.714653000000006,-84.590686,GA,1,7000 Lagrange Blvd SW,30336,Fiber Only,Office - Single Tenant
