Account ID,Industry,Vertical, Total BRR ,# Buildings on Net,# Buildings not on Net
Acct-000722,Media & Content,Internet Content & Software,13106.44,0.0,2
Acct-003348,Finance,Insurance - Non-Healthcare,547386.09,0.0,1
Acct-003206,Other Industry,Telecommunications Equipment Provider,714.0,0.0,1
Acct-000023,Other Industry,Transportation,14975.0,0.0,2
Acct-001896,Telecommunications,PTT,12644.0,0.0,1
Acct-003471,Media & Content,Internet Content & Software,10790.0,0.0,1
Acct-003320,Professional Services,Consulting / Other Professional Services,1020.0,0.0,1
Acct-003498,Telecommunications,Regional Carrier/ISP,1474.2,0.0,1
Acct-001128,Healthcare,Healthcare,121100.0,0.0,7
Acct-003480,Energy & Manufacturing,Manufacturing - Other,17413.2,0.0,1
Acct-003649,Healthcare,Health Insurance,17781.0,0.0,1
Acct-000732,Energy & Manufacturing,Manufacturing - Other,1200.0,0.0,1
Acct-003402,Professional Services,Consulting / Other Professional Services,1300.0,0.0,1
Acct-003399,Finance,Finance - Other,98339.0,0.0,1
Acct-003540,Energy & Manufacturing,Manufacturing - Other,1400.0,0.0,1
Acct-003322,Media & Content,Media,2619.21,0.0,2
Acct-003379,Media & Content,Internet Content & Software,2656.0,0.0,2
Acct-003467,Media & Content,AdTech,4151.0,0.0,1
Acct-002486,Media & Content,Media,39441.0,0.0,3
Acct-001014,Research & Education,Higher Education,36233.0,0.0,1
Acct-003446,Media & Content,Media,5593.0,0.0,3
Acct-003380,Other Industry,Retail,34375.91,0.0,2
Acct-003569,Media & Content,Internet Content & Software,5455.0,0.0,1
Acct-002464,Telecommunications,National Carrier/ISP,33231.0,0.0,3
Acct-003381,Other Industry,Retail,31736.63,0.0,2
Acct-003284,Media & Content,Internet Content & Software,5243.0,0.0,1
Acct-001266,Professional Services,Consulting / Other Professional Services,42955.57,0.0,1
Acct-003570,Professional Services,Legal,47646.0,0.0,1
Acct-003524,Media & Content,Cable & Satellite,14737.0,0.0,4
Acct-003343,Energy & Manufacturing,Manufacturing - Other,4872.0,0.0,1
Acct-003591,Finance,Finance - Other,4588.0,0.0,1
Acct-002551,Professional Services,Engineering,50428.49,0.0,1
Acct-003608,Professional Services,Consulting / Other Professional Services,82665.0,0.0,1
Acct-003562,IT Infrastructure,Cloud Service Provider,3970.0,0.0,1
Acct-001291,Other Industry,Retail,50867.46,0.0,1
Acct-003317,Energy & Manufacturing,Manufacturing - Other,7410.33,0.0,5
Acct-003525,Research & Education,Higher Education,57271.0,0.0,3
Acct-003622,Media & Content,Gaming/eSports,58137.0,0.0,3
Acct-003530,IT Infrastructure,Cloud Service Provider,3433.16,0.0,2
Acct-002674,Finance,Finance - Other,3122.0,0.0,1
Acct-000059,Media & Content,Media,7779.06,0.0,5
Acct-003469,Media & Content,Media,26871.0,0.0,1
Acct-003576,Energy & Manufacturing,Manufacturing - Other,2957.0,0.0,4
Acct-003552,Media & Content,Internet Content & Software,24571.0,0.0,1
Acct-003615,Government,Federal Government,23459.0,0.0,8
Acct-001262,Telecommunications,Regional Carrier/ISP,2805.0,0.0,1
Acct-003601,Healthcare,Pharmaceuticals / BioTech,27387.0,0.0,1
